perfil;red_social;tweets_post_totales;tweets_post_diarios;seguidores_fans_totales;seguidores_fans_diarios;fecha
ITACYL Instituto Técnico Agrario;1;1452;3;2876;1;9/02/2024
Museos de Castilla y León;1;922;4;9157;-1;10/02/2024
CREFES Formación y Estudios Sociales;1;45;0;0;0;10/02/2024
ECLAP Escuela de Administración Pública;1;484;2;0;0;10/02/2024
Marca Territorio;1;360;1;3658;0;10/02/2024
Castilla y León Digital;1;2122;3;3528;6;10/02/2024
Empleo en Castilla y León;1;3765;3;14471;2;10/02/2024
ITACYL Instituto Técnico Agrario;1;1454;2;2876;0;10/02/2024
Deporte en Castilla y León;1;725;0;2112;0;10/02/2024
Empresas JCYL - ICE;1;0;0;922;0;10/02/2024
Museos de Castilla y León;1;924;2;9156;-1;11/02/2024
Archivos de Castilla y León;1;813;2;6945;0;11/02/2024
CREFES Formación y Estudios Sociales;1;45;0;0;0;11/02/2024
Patrimonio Natural;1;400;1;11753;6;11/02/2024
FUESCYL Fundación Universidades;1;410;1;0;0;11/02/2024
Castilla y León Exterior;1;70;0;1024;0;11/02/2024
Empleo en Castilla y León;1;3768;3;14474;3;11/02/2024
Patrimonio Castilla y León;1;508;0;1435;0;11/02/2024
Museos de Castilla y León;1;926;2;9156;0;12/02/2024
Centro de Emergencias Castilla y León 112;1;2184;6;23270;4;12/02/2024
Tierra de Sabor;1;4241;2;65184;30;12/02/2024
Archivos de Castilla y León;1;815;2;6945;0;12/02/2024
Castilla y León Exterior;1;70;0;1024;0;12/02/2024
Familia;1;500;3;2174;0;12/02/2024
Patrimonio Castilla y León;1;508;0;1435;0;12/02/2024
Salud+JCYL;1;1001;4;50386;0;13/02/2024
Instituto de la Juventud de Castilla y León;1;1999;3;18233;8;13/02/2024
Centro de Emergencias Castilla y León 112;1;2189;5;23274;4;13/02/2024
Tierra de Sabor;1;4242;1;65227;43;13/02/2024
Archivos de Castilla y León;1;817;2;6944;-1;13/02/2024
Marca Territorio;1;364;1;3657;0;13/02/2024
Castilla y León Digital;1;2132;2;3535;2;13/02/2024
ITACYL Instituto Técnico Agrario;1;1459;3;2880;1;13/02/2024
Patrimonio Castilla y León;1;508;0;1435;0;13/02/2024
Empresas JCYL - ICE;1;0;0;921;-1;13/02/2024
Salud+JCYL;1;1004;3;50386;0;14/02/2024
Centro de Emergencias Castilla y León 112;1;2192;3;23281;7;14/02/2024
Archivos de Castilla y León;1;819;2;6943;-1;14/02/2024
FUESCYL Fundación Universidades;1;415;1;3473;1;14/02/2024
Castilla y León Exterior;1;70;0;1024;0;14/02/2024
ITACYL Instituto Técnico Agrario;1;1462;3;2880;0;14/02/2024
Deporte en Castilla y León;1;728;1;2111;0;14/02/2024
Empresas JCYL - ICE;1;0;0;921;0;14/02/2024
Comunicación Junta de Castilla y León;1;1455;10;38355;7;15/02/2024
Centro de Emergencias Castilla y León 112;1;2198;6;23282;1;15/02/2024
Archivos de Castilla y León;1;821;2;6943;0;15/02/2024
Marca Territorio;1;368;2;3656;-1;15/02/2024
Castilla y León Digital;1;2141;6;3538;2;15/02/2024
FUESCYL Fundación Universidades;1;416;1;3474;1;15/02/2024
Castilla y León Exterior;1;70;0;1024;0;15/02/2024
Empleo en Castilla y León;1;3831;16;14497;5;15/02/2024
Familia;1;507;3;2183;2;15/02/2024
Patrimonio Castilla y León;1;508;0;1435;1;15/02/2024
Instituto de la Juventud de Castilla y León;1;2013;4;18247;3;16/02/2024
Comunicación Junta de Castilla y León;1;1460;5;38360;5;16/02/2024
Archivos de Castilla y León;1;823;2;6944;1;16/02/2024
ECLAP Escuela de Administración Pública;1;494;1;3970;0;16/02/2024
Castilla y León Digital;1;2144;3;3543;5;16/02/2024
FUESCYL Fundación Universidades;1;417;1;3475;1;16/02/2024
Patrimonio Castilla y León;1;508;0;1436;1;16/02/2024
Instituto de la Juventud de Castilla y León;1;2015;2;18251;4;17/02/2024
Comunicación Junta de Castilla y León;1;1462;2;38362;2;17/02/2024
Tierra de Sabor;1;4257;5;65266;6;17/02/2024
ECLAP Escuela de Administración Pública;1;495;1;3970;0;17/02/2024
Castilla y León Exterior;1;72;0;1024;0;17/02/2024
Empleo en Castilla y León;1;3850;4;14506;3;17/02/2024
Tierra de Sabor;1;4257;0;65268;2;18/02/2024
FUESCYL Fundación Universidades;1;418;0;3475;0;18/02/2024
Deporte en Castilla y León;1;728;0;2112;1;18/02/2024
Museos de Castilla y León;1;941;2;9163;4;19/02/2024
Deporte en Castilla y León;1;729;1;2112;0;19/02/2024
Castilla y León Digital;1;2156;3;3550;3;20/02/2024
FUESCYL Fundación Universidades;1;422;3;3476;1;20/02/2024
Castilla y León Exterior;1;72;0;1024;0;20/02/2024
Empleo en Castilla y León;1;3881;15;14523;7;20/02/2024
Comunicación Junta de Castilla y León;1;1473;3;38407;7;21/02/2024
Patrimonio Natural;1;410;1;11784;0;21/02/2024
Castilla y León Digital;1;2161;5;3551;1;21/02/2024
FUESCYL Fundación Universidades;1;425;3;3476;0;21/02/2024
Castilla y León Exterior;1;73;1;1024;0;21/02/2024
Familia;1;515;3;2202;4;21/02/2024
Deporte en Castilla y León;1;731;1;2115;3;21/02/2024
Centro de Emergencias Castilla y León 112;1;2240;7;23305;5;22/02/2024
Marca Territorio;1;375;1;3660;1;22/02/2024
Patrimonio Natural;1;411;1;11784;0;22/02/2024
Castilla y León Exterior;1;74;1;1024;0;22/02/2024
ITACYL Instituto Técnico Agrario;1;1485;2;2890;0;22/02/2024
Museos de Castilla y León;1;949;2;9170;0;23/02/2024
Comunicación Junta de Castilla y León;1;1479;2;38414;2;23/02/2024
Centro de Emergencias Castilla y León 112;1;2244;4;23306;1;23/02/2024
Turismo Castilla y León es Vida;1;1075;1;95397;5;23/02/2024
Tierra de Sabor;1;4272;3;65326;2;23/02/2024
Marca Territorio;1;375;0;3660;0;23/02/2024
Patrimonio Natural;1;412;1;11784;0;23/02/2024
FUESCYL Fundación Universidades;1;429;2;3476;0;23/02/2024
Familia;1;518;1;2203;1;23/02/2024
Deporte en Castilla y León;1;731;0;2136;9;23/02/2024
Instituto de la Juventud de Castilla y León;1;2045;3;18335;4;24/02/2024
Comunicación Junta de Castilla y León;1;1481;2;38419;5;24/02/2024
Tierra de Sabor;1;4275;3;65334;8;24/02/2024
Archivos de Castilla y León;1;843;2;6950;-1;24/02/2024
CREFES Formación y Estudios Sociales;1;45;0;3457;0;24/02/2024
Castilla y León Digital;1;2170;3;3553;2;24/02/2024
ITACYL Instituto Técnico Agrario;1;1490;3;2893;3;24/02/2024
Familia;1;518;0;2204;1;24/02/2024
Instituto de la Juventud de Castilla y León;1;2047;2;18341;6;25/02/2024
Museos de Castilla y León;1;953;2;9171;1;25/02/2024
Centro de Emergencias Castilla y León 112;1;2257;8;23345;26;25/02/2024
ECLAP Escuela de Administración Pública;1;507;2;3978;2;25/02/2024
FUESCYL Fundación Universidades;1;429;0;3476;0;25/02/2024
Castilla y León Exterior;1;74;0;1026;0;25/02/2024
Deporte en Castilla y León;1;731;0;2172;25;25/02/2024
Empresas JCYL - ICE;1;0;0;922;0;25/02/2024
Instituto de la Juventud de Castilla y León;1;2053;6;18349;8;26/02/2024
Museos de Castilla y León;1;955;2;9171;0;26/02/2024
Comunicación Junta de Castilla y León;1;1486;4;38439;7;26/02/2024
Tierra de Sabor;1;4280;3;65341;6;26/02/2024
Archivos de Castilla y León;1;847;2;6951;1;26/02/2024
Castilla y León Digital;1;2176;3;3553;2;26/02/2024
FUESCYL Fundación Universidades;1;430;1;3476;0;26/02/2024
ITACYL Instituto Técnico Agrario;1;1493;2;0;0;26/02/2024
Deporte en Castilla y León;1;732;1;2194;22;26/02/2024
Salud+JCYL;1;1044;3;50412;4;27/02/2024
Turismo Castilla y León es Vida;1;1080;1;95430;9;27/02/2024
Archivos de Castilla y León;1;849;2;6950;-1;27/02/2024
FUESCYL Fundación Universidades;1;432;2;3479;3;27/02/2024
Castilla y León Exterior;1;75;0;1016;0;27/02/2024
Empleo en Castilla y León;1;3976;14;14414;0;27/02/2024
Deporte en Castilla y León;1;734;2;2215;21;27/02/2024
Empresas JCYL - ICE;1;0;0;922;0;27/02/2024
Centro de Emergencias Castilla y León 112;1;2269;2;23368;5;28/02/2024
Turismo Castilla y León es Vida;1;1081;1;95435;5;28/02/2024
CREFES Formación y Estudios Sociales;1;45;0;3457;0;28/02/2024
Castilla y León Digital;1;2185;6;3565;5;28/02/2024
FUESCYL Fundación Universidades;1;434;2;3480;1;28/02/2024
Castilla y León Exterior;1;75;0;1016;0;28/02/2024
ITACYL Instituto Técnico Agrario;1;1498;2;2828;5;28/02/2024
Deporte en Castilla y León;1;735;1;2226;11;28/02/2024
Patrimonio Castilla y León;1;508;0;1435;0;28/02/2024
Salud+JCYL;1;1051;4;50414;0;29/02/2024
Museos de Castilla y León;1;963;3;9176;2;29/02/2024
Turismo Castilla y León es Vida;1;1083;2;95440;5;29/02/2024
ECLAP Escuela de Administración Pública;1;514;1;3979;0;29/02/2024
FUESCYL Fundación Universidades;1;435;1;3480;0;29/02/2024
Empleo en Castilla y León;1;4007;17;14433;11;29/02/2024
Patrimonio Castilla y León;1;508;0;1435;0;29/02/2024
Comunicación Junta de Castilla y León;1;1507;6;38462;1;1/03/2024
Marca Territorio;1;385;1;3666;6;1/03/2024
Patrimonio Natural;1;419;1;11796;2;1/03/2024
Archivos de Castilla y León;1;858;2;6949;0;2/03/2024
ECLAP Escuela de Administración Pública;1;518;2;3982;3;2/03/2024
Castilla y León Exterior;1;77;0;1018;0;2/03/2024
Empleo en Castilla y León;1;4024;2;14447;5;2/03/2024
ITACYL Instituto Técnico Agrario;1;1507;1;2830;0;2/03/2024
Familia;1;525;0;2182;1;2/03/2024
Salud+JCYL;1;1060;3;50423;6;3/03/2024
Turismo Castilla y León es Vida;1;1090;2;95471;12;3/03/2024
Tierra de Sabor;1;4292;1;65372;5;3/03/2024
FUESCYL Fundación Universidades;1;437;0;3483;0;3/03/2024
Patrimonio Castilla y León;1;508;0;1435;0;3/03/2024
Salud+JCYL;1;1063;3;50427;4;4/03/2024
Instituto de la Juventud de Castilla y León;1;2084;6;18376;2;4/03/2024
Turismo Castilla y León es Vida;1;1093;3;95490;19;4/03/2024
Tierra de Sabor;1;4296;4;65374;2;4/03/2024
CREFES Formación y Estudios Sociales;1;45;0;3457;0;4/03/2024
Patrimonio Natural;1;422;1;11804;3;4/03/2024
Castilla y León Digital;1;2202;5;3575;6;4/03/2024
FUESCYL Fundación Universidades;1;438;1;3483;0;4/03/2024
Empleo en Castilla y León;1;4040;14;14461;10;4/03/2024
ITACYL Instituto Técnico Agrario;1;1510;2;2830;0;4/03/2024
Deporte en Castilla y León;1;740;1;2239;0;4/03/2024
Empresas JCYL - ICE;1;0;0;877;1;4/03/2024
Instituto de la Juventud de Castilla y León;1;2089;5;18377;1;5/03/2024
Centro de Emergencias Castilla y León 112;1;2313;7;23435;8;5/03/2024
CREFES Formación y Estudios Sociales;1;45;0;3457;0;5/03/2024
Castilla y León Digital;1;2206;4;3580;5;5/03/2024
FUESCYL Fundación Universidades;1;441;3;3483;0;5/03/2024
Castilla y León Exterior;1;77;0;1018;0;5/03/2024
Empleo en Castilla y León;1;4050;10;14473;12;5/03/2024
Familia;1;525;0;2183;1;5/03/2024
Salud+JCYL;1;1069;3;50431;2;6/03/2024
Centro de Emergencias Castilla y León 112;1;2319;6;23446;11;6/03/2024
Marca Territorio;1;393;2;3675;0;6/03/2024
Patrimonio Natural;1;424;1;11805;1;6/03/2024
Castilla y León Digital;1;2210;4;3590;10;6/03/2024
Familia;1;525;0;2183;0;6/03/2024
Patrimonio Castilla y León;1;508;0;1436;1;6/03/2024
Museos de Castilla y León;1;980;3;9188;1;7/03/2024
Centro de Emergencias Castilla y León 112;1;2326;7;23457;11;7/03/2024
Turismo Castilla y León es Vida;1;1099;2;95519;9;7/03/2024
CREFES Formación y Estudios Sociales;1;45;0;3456;-1;7/03/2024
ECLAP Escuela de Administración Pública;1;526;2;3984;0;7/03/2024
Patrimonio Natural;1;425;1;11805;0;7/03/2024
Castilla y León Digital;1;2214;4;3591;1;7/03/2024
FUESCYL Fundación Universidades;1;447;2;3483;0;7/03/2024
Patrimonio Castilla y León;1;508;0;1436;0;7/03/2024
Museos de Castilla y León;1;985;5;9189;1;8/03/2024
Tierra de Sabor;1;4307;3;65460;32;8/03/2024
Archivos de Castilla y León;1;870;2;6949;0;8/03/2024
Patrimonio Natural;1;426;1;11805;0;8/03/2024
FUESCYL Fundación Universidades;1;451;4;3483;0;8/03/2024
Patrimonio Castilla y León;1;508;0;1436;0;8/03/2024
Centro de Emergencias Castilla y León 112;1;2339;4;23484;16;9/03/2024
Tierra de Sabor;1;4310;3;65495;35;9/03/2024
Archivos de Castilla y León;1;872;2;6950;1;9/03/2024
FUESCYL Fundación Universidades;1;451;0;3483;0;9/03/2024
ITACYL Instituto Técnico Agrario;1;1528;1;2834;3;9/03/2024
Patrimonio Castilla y León;1;508;0;1436;0;9/03/2024
Empresas JCYL - ICE;1;0;0;876;0;9/03/2024
Salud+JCYL;1;1080;2;50447;4;10/03/2024
Comunicación Junta de Castilla y León;1;1546;0;38513;5;10/03/2024
Centro de Emergencias Castilla y León 112;1;2343;4;23490;6;10/03/2024
Tierra de Sabor;1;4312;2;65524;29;10/03/2024
Castilla y León Digital;1;2223;3;3599;1;10/03/2024
FUESCYL Fundación Universidades;1;451;0;3484;1;10/03/2024
Familia;1;525;0;2184;0;10/03/2024
Salud+JCYL;1;1083;3;50448;1;11/03/2024
Museos de Castilla y León;1;991;2;9192;0;11/03/2024
Comunicación Junta de Castilla y León;1;1552;6;38514;1;11/03/2024
Centro de Emergencias Castilla y León 112;1;2349;6;23493;3;11/03/2024
CREFES Formación y Estudios Sociales;1;45;0;3456;0;11/03/2024
Salud+JCYL;1;1086;3;50452;4;12/03/2024
Instituto de la Juventud de Castilla y León;1;2123;6;18425;5;12/03/2024
Comunicación Junta de Castilla y León;1;1560;8;38532;18;12/03/2024
Turismo Castilla y León es Vida;1;1107;2;95569;7;12/03/2024
CREFES Formación y Estudios Sociales;1;45;0;3456;0;12/03/2024
ECLAP Escuela de Administración Pública;1;533;2;3986;2;12/03/2024
Deporte en Castilla y León;2;3846;1;1021;-1;14/01/2024
Patrimonio Castilla y León;2;2142;0;2894;-1;14/01/2024
Atención al ciudadano 012;2;1175;0;0;0;14/01/2024
Salud+JCYL;2;1630;5;43115;11;15/01/2024
Instituto de la Juventud de Castilla y León;2;136;5;19227;0;15/01/2024
Museos de Castilla y León;2;271;9;26676;-1;15/01/2024
Tierra de Sabor;2;9502;6;29411;-1;15/01/2024
Marca Territorio;2;157;2;16173;1;15/01/2024
Educación;2;36;3;59380;7;15/01/2024
Salud+JCYL;2;1634;4;43124;9;16/01/2024
Gobierno Abierto de Castilla y León Transparencia;2;73;5;3744;1;16/01/2024
Comunicación Junta de Castilla y León;2;1703;10;84267;6;16/01/2024
Turismo Castilla y León es Vida;2;126;8;123635;16;16/01/2024
Tierra de Sabor;2;9509;7;29412;1;16/01/2024
Marca Territorio;2;159;2;16171;-2;16/01/2024
ITACYL Instituto Técnico Agrario;2;499;0;0;0;16/01/2024
Patrimonio Castilla y León;2;2142;0;2893;0;16/01/2024
Naturaleza Castilla y León;2;8592;0;16794;8;16/01/2024
Atención al ciudadano 012;2;1191;8;0;0;16/01/2024
Salud+JCYL;2;1637;3;43132;8;17/01/2024
Tierra de Sabor;2;9516;7;29407;-5;17/01/2024
Marca Territorio;2;162;3;16173;2;17/01/2024
Deporte en Castilla y León;2;3857;1;1024;3;17/01/2024
Patrimonio Castilla y León;2;2142;0;2896;3;17/01/2024
Energía EREN;2;1025;4;3352;0;17/01/2024
Instituto de la Juventud de Castilla y León;2;148;5;19225;0;18/01/2024
Museos de Castilla y León;2;298;9;26683;2;18/01/2024
Gobierno Abierto de Castilla y León Transparencia;2;82;5;3746;1;18/01/2024
Patrimonio Natural;2;13;3;0;0;18/01/2024
Castilla y León Digital;2;62;4;6543;3;18/01/2024
Patrimonio Castilla y León;2;2142;0;2898;2;18/01/2024
Naturaleza Castilla y León;2;8592;0;16794;4;18/01/2024
Atención al ciudadano 012;2;1206;8;0;0;18/01/2024
Energía EREN;2;1030;5;3351;-1;18/01/2024
Salud+JCYL;2;1645;4;43150;7;19/01/2024
Gobierno Abierto de Castilla y León Transparencia;2;89;7;3744;-2;19/01/2024
Comunicación Junta de Castilla y León;2;1737;11;84336;24;19/01/2024
Marca Territorio;2;166;2;16180;6;19/01/2024
ITACYL Instituto Técnico Agrario;2;499;0;0;0;19/01/2024
Naturaleza Castilla y León;2;8592;0;16792;-2;19/01/2024
Cultura de Castilla y León;2;2837;6;12784;5;19/01/2024
Museos de Castilla y León;2;316;9;26685;2;20/01/2024
Comunicación Junta de Castilla y León;2;1747;10;84346;10;20/01/2024
Educación;2;58;0;59411;10;20/01/2024
Trabajo y Prevención de Castilla y León;2;8;3;0;0;20/01/2024
Salud+JCYL;2;1651;2;43160;5;21/01/2024
Museos de Castilla y León;2;325;9;26682;-3;21/01/2024
Comunicación Junta de Castilla y León;2;1756;9;84375;29;21/01/2024
Tierra de Sabor;2;9539;4;29414;1;21/01/2024
Patrimonio Castilla y León;2;2142;0;2899;0;21/01/2024
Educación;2;58;0;59424;13;21/01/2024
Naturaleza Castilla y León;2;8592;0;16793;0;21/01/2024
Atención al ciudadano 012;2;1218;0;0;0;21/01/2024
Salud+JCYL;2;1657;6;43165;5;22/01/2024
Instituto de la Juventud de Castilla y León;2;164;6;19225;-2;22/01/2024
Museos de Castilla y León;2;334;9;26678;-4;22/01/2024
Gobierno Abierto de Castilla y León Transparencia;2;97;6;3742;-2;22/01/2024
Comunicación Junta de Castilla y León;2;1766;10;84395;20;22/01/2024
Centro de Emergencias Castilla y León 112;2;164;4;80889;5;22/01/2024
Tierra de Sabor;2;9544;5;29409;-5;22/01/2024
Castilla y León Digital;2;78;4;6550;1;22/01/2024
Deporte en Castilla y León;2;3872;5;1025;1;22/01/2024
Patrimonio Castilla y León;2;2142;0;2896;-3;22/01/2024
Educación;2;63;5;59432;8;22/01/2024
Energía EREN;2;1037;3;3351;0;22/01/2024
Centro de Emergencias Castilla y León 112;2;171;7;80893;4;23/01/2024
Castilla y León Digital;2;82;4;6549;-1;23/01/2024
Deporte en Castilla y León;2;3876;4;1026;1;23/01/2024
Naturaleza Castilla y León;2;8594;0;16788;1;23/01/2024
Cultura de Castilla y León;2;2858;5;12789;1;23/01/2024
Atención al ciudadano 012;2;1236;10;0;0;23/01/2024
Centro de Emergencias Castilla y León 112;2;181;10;80898;5;24/01/2024
Patrimonio Natural;2;28;4;8590;0;24/01/2024
Castilla y León Digital;2;87;5;6552;3;24/01/2024
Patrimonio Castilla y León;2;2142;0;2902;0;24/01/2024
Naturaleza Castilla y León;2;8595;1;16793;5;24/01/2024
Trabajo y Prevención de Castilla y León;2;28;6;4495;0;24/01/2024
Marca Territorio;2;176;2;16190;2;25/01/2024
ITACYL Instituto Técnico Agrario;2;499;0;0;0;25/01/2024
Deporte en Castilla y León;2;3886;6;1026;0;25/01/2024
Naturaleza Castilla y León;2;8595;0;16796;3;25/01/2024
Cultura de Castilla y León;2;2869;5;12794;4;25/01/2024
Trabajo y Prevención de Castilla y León;2;34;6;4496;1;25/01/2024
Instituto de la Juventud de Castilla y León;2;188;5;19225;-2;26/01/2024
Gobierno Abierto de Castilla y León Transparencia;2;115;5;3748;1;26/01/2024
Tierra de Sabor;2;9571;4;29404;-2;26/01/2024
Patrimonio Natural;2;34;3;8593;2;26/01/2024
ITACYL Instituto Técnico Agrario;2;499;0;0;0;26/01/2024
Deporte en Castilla y León;2;3891;5;1026;0;26/01/2024
Patrimonio Castilla y León;2;2142;0;2902;-1;26/01/2024
Naturaleza Castilla y León;2;8596;1;16797;1;26/01/2024
Cultura de Castilla y León;2;2874;5;12796;2;26/01/2024
Atención al ciudadano 012;2;1260;8;0;0;26/01/2024
Energía EREN;2;1055;4;3353;1;26/01/2024
Salud+JCYL;2;1672;1;43197;6;27/01/2024
Comunicación Junta de Castilla y León;2;1822;9;84483;13;27/01/2024
Turismo Castilla y León es Vida;2;277;26;123758;22;27/01/2024
Tierra de Sabor;2;9577;6;29403;-1;27/01/2024
Marca Territorio;2;179;1;16194;1;27/01/2024
Patrimonio Natural;2;39;5;8595;2;27/01/2024
ITACYL Instituto Técnico Agrario;2;499;0;0;0;27/01/2024
Deporte en Castilla y León;2;3895;4;1026;0;27/01/2024
Patrimonio Castilla y León;2;2142;0;2902;0;27/01/2024
Educación;2;90;0;59466;7;27/01/2024
Naturaleza Castilla y León;2;8597;1;16799;2;27/01/2024
Cultura de Castilla y León;2;2879;5;12798;2;27/01/2024
Energía EREN;2;1055;0;3353;0;27/01/2024
Museos de Castilla y León;2;387;8;26683;1;28/01/2024
Marca Territorio;2;180;1;16197;3;28/01/2024
Patrimonio Natural;2;42;3;8596;1;28/01/2024
Castilla y León Digital;2;108;5;6556;1;28/01/2024
ITACYL Instituto Técnico Agrario;2;499;0;0;0;28/01/2024
Educación;2;90;0;59472;6;28/01/2024
Salud+JCYL;2;1678;3;43205;1;29/01/2024
Museos de Castilla y León;2;396;9;26686;3;29/01/2024
Centro de Emergencias Castilla y León 112;2;217;5;80920;6;29/01/2024
Turismo Castilla y León es Vida;2;302;8;123776;15;29/01/2024
Tierra de Sabor;2;9598;12;29404;1;29/01/2024
Patrimonio Natural;2;45;3;8596;0;29/01/2024
Castilla y León Digital;2;111;3;6556;0;29/01/2024
Deporte en Castilla y León;2;3900;5;1028;2;29/01/2024
Patrimonio Castilla y León;2;2142;0;2902;-1;29/01/2024
Trabajo y Prevención de Castilla y León;2;53;5;4497;-1;29/01/2024
Patrimonio Natural;2;48;3;8593;-3;30/01/2024
ITACYL Instituto Técnico Agrario;2;499;0;0;0;30/01/2024
Patrimonio Castilla y León;2;2142;0;2901;-1;30/01/2024
Energía EREN;2;1068;9;3350;-2;30/01/2024
Instituto de la Juventud de Castilla y León;2;212;8;19227;-3;31/01/2024
Museos de Castilla y León;2;414;9;26687;0;31/01/2024
Gobierno Abierto de Castilla y León Transparencia;2;134;5;3748;-1;31/01/2024
Centro de Emergencias Castilla y León 112;2;236;8;80922;0;31/01/2024
Marca Territorio;2;186;2;16195;-4;31/01/2024
ITACYL Instituto Técnico Agrario;2;499;0;0;0;31/01/2024
Patrimonio Castilla y León;2;2142;0;2900;-1;31/01/2024
Educación;2;105;3;59483;3;31/01/2024
Atención al ciudadano 012;2;1287;8;0;0;31/01/2024
Energía EREN;2;1071;3;3352;2;31/01/2024
Salud+JCYL;2;1687;3;43232;14;1/02/2024
Marca Territorio;2;188;2;16199;4;1/02/2024
Patrimonio Natural;2;53;2;8594;-1;1/02/2024
Deporte en Castilla y León;2;3910;3;1030;1;1/02/2024
Educación;2;106;1;59491;8;1/02/2024
Cultura de Castilla y León;2;2905;5;12802;1;1/02/2024
Trabajo y Prevención de Castilla y León;2;71;6;4495;-1;1/02/2024
Salud+JCYL;2;1690;3;43237;5;2/02/2024
Comunicación Junta de Castilla y León;2;1883;11;84607;20;2/02/2024
Turismo Castilla y León es Vida;2;338;9;123813;11;2/02/2024
Patrimonio Natural;2;58;5;8596;2;2/02/2024
Patrimonio Castilla y León;2;2142;0;2899;0;2/02/2024
Trabajo y Prevención de Castilla y León;2;76;5;4501;6;2/02/2024
Atención al ciudadano 012;2;1305;9;0;0;2/02/2024
Salud+JCYL;2;1694;4;43245;8;3/02/2024
Instituto de la Juventud de Castilla y León;2;226;3;19230;0;3/02/2024
Museos de Castilla y León;2;441;9;26690;0;3/02/2024
Gobierno Abierto de Castilla y León Transparencia;2;150;1;3749;1;3/02/2024
Centro de Emergencias Castilla y León 112;2;259;12;80941;-1;3/02/2024
Turismo Castilla y León es Vida;2;346;8;123819;6;3/02/2024
Tierra de Sabor;2;9645;6;29404;-4;3/02/2024
Cultura de Castilla y León;2;2916;5;12802;1;3/02/2024
Atención al ciudadano 012;2;1309;4;0;0;3/02/2024
Salud+JCYL;2;1697;3;43255;10;4/02/2024
Centro de Emergencias Castilla y León 112;2;263;4;80945;4;4/02/2024
Marca Territorio;2;192;1;16198;-1;4/02/2024
Educación;2;113;0;59516;-3;4/02/2024
Cultura de Castilla y León;2;2922;6;12803;1;4/02/2024
Instituto de la Juventud de Castilla y León;2;235;7;19234;0;5/02/2024
Tierra de Sabor;2;9656;7;29412;6;5/02/2024
Castilla y León Digital;2;133;5;6556;3;5/02/2024
Deporte en Castilla y León;2;3924;7;1031;1;5/02/2024
Educación;2;120;7;59529;13;5/02/2024
Energía EREN;2;1085;6;3352;3;5/02/2024
Tierra de Sabor;2;9667;11;29408;-4;6/02/2024
ITACYL Instituto Técnico Agrario;2;499;0;0;0;6/02/2024
Patrimonio Castilla y León;2;2142;0;2896;0;6/02/2024
Trabajo y Prevención de Castilla y León;2;95;5;4500;-2;6/02/2024
Energía EREN;2;1092;7;3352;0;6/02/2024
Instituto de la Juventud de Castilla y León;2;249;8;19235;1;7/02/2024
Marca Territorio;2;198;2;16197;2;7/02/2024
Castilla y León Digital;2;141;5;6556;0;7/02/2024
ITACYL Instituto Técnico Agrario;2;499;0;0;0;7/02/2024
Naturaleza Castilla y León;2;8616;0;16819;-3;7/02/2024
Instituto de la Juventud de Castilla y León;2;256;7;19233;-2;8/02/2024
Centro de Emergencias Castilla y León 112;2;289;9;80991;8;8/02/2024
Turismo Castilla y León es Vida;2;402;11;123854;12;8/02/2024
Deporte en Castilla y León;2;3935;3;1029;-1;8/02/2024
Educación;2;141;6;59560;13;8/02/2024
Trabajo y Prevención de Castilla y León;2;106;5;4501;1;8/02/2024
Energía EREN;2;1097;1;3351;-1;8/02/2024
Salud+JCYL;2;1718;2;43312;10;9/02/2024
Gobierno Abierto de Castilla y León Transparencia;2;178;6;3759;2;9/02/2024
Centro de Emergencias Castilla y León 112;2;306;17;81005;14;9/02/2024
Turismo Castilla y León es Vida;2;419;17;123870;16;9/02/2024
Castilla y León Digital;2;148;3;6560;1;9/02/2024
ITACYL Instituto Técnico Agrario;2;499;0;0;0;9/02/2024
Energía EREN;2;1097;0;3351;0;9/02/2024
Salud+JCYL;2;1720;2;43330;18;10/02/2024
Gobierno Abierto de Castilla y León Transparencia;2;179;1;3760;1;10/02/2024
Centro de Emergencias Castilla y León 112;2;311;5;81035;30;10/02/2024
ITACYL Instituto Técnico Agrario;2;499;0;0;0;10/02/2024
Naturaleza Castilla y León;2;8619;0;16821;2;10/02/2024
Cultura de Castilla y León;2;2956;6;12817;2;10/02/2024
Energía EREN;2;1097;0;3351;0;10/02/2024
Instituto de la Juventud de Castilla y León;2;267;2;19237;-1;11/02/2024
Centro de Emergencias Castilla y León 112;2;317;6;81039;4;11/02/2024
ECLAP Escuela de Administración Pública;2;27;8;0;0;11/02/2024
Patrimonio Castilla y León;2;2142;0;2895;-2;11/02/2024
Naturaleza Castilla y León;2;8622;3;16826;5;11/02/2024
Energía EREN;2;1097;0;3352;1;11/02/2024
Gobierno Abierto de Castilla y León Transparencia;2;213;33;3759;0;12/02/2024
Comunicación Junta de Castilla y León;2;1983;11;84822;11;12/02/2024
ECLAP Escuela de Administración Pública;2;34;7;0;0;12/02/2024
Patrimonio Castilla y León;2;2142;0;2895;0;12/02/2024
Atención al ciudadano 012;2;1370;8;12455;0;12/02/2024
Salud+JCYL;2;1729;3;43349;1;13/02/2024
Patrimonio Natural;2;82;4;8602;0;13/02/2024
Castilla y León Digital;2;156;0;6566;0;13/02/2024
Deporte en Castilla y León;2;3950;2;1029;0;13/02/2024
Educación;2;154;4;59609;12;13/02/2024
Cultura de Castilla y León;2;2961;0;12821;-1;13/02/2024
