fechaCreacion;Ciudad 1era instancia;Juzgado de origen;Autoridad de conocimiento;Tipo o tema del proceso;Instancia actual del proceso
05/10/2022;Bogotá;41;1;1;1
30/12/2019;Bogotá;28;2;1;2
07/06/2023;Bogotá;25;1;1;1
30/12/2019;Bogotá;31;2;1;2
17/05/2023;Bogotá;42;1;1;1
14/03/2022;Bogotá;9;2;1;2
29/10/2019;Bogotá;19;2;1;2
17/01/2022;Bogotá;28;2;1;2
24/11/2022;Bogotá;37;1;1;1
28/12/2021;Bogotá;5;2;1;2
09/02/2020;Bogotá;37;2;1;2
24/02/2020;Bogotá;17;1;1;2
11/07/2023;Bogotá;22;1;1;1
02/03/2021;Bogotá;15;2;1;2
14/09/2023;Bogotá;45;1;1;1
27/12/2019;Bogotá;35;2;1;2
25/01/2024;Bogotá;11;1;1;1
02/02/2023;Bogotá;24;1;1;1
02/12/2019;Bogotá;23;2;1;2
17/03/2021;Bogotá;15;2;1;2
17/10/2019;Bogotá;35;2;1;2
04/05/2020;Bogotá;13;2;1;2
04/03/2021;Bogotá;19;2;1;2
01/03/2021;Bogotá;7;1;1;1
09/02/2020;Bogotá;24;2;1;2
14/04/2021;Bogotá;21;2;1;2
06/10/2023;Bogotá;26;1;3;1
11/05/2023;Bogotá;16;1;3;1
09/06/2021;Bogotá;5;1;1;1
05/10/2020;Bogotá;4;2;1;2
19/04/2023;Bogotá;5;1;1;1
15/11/2022;Bogotá;40;1;1;1
25/06/2023;Bogotá;10;1;1;1
24/09/2021;Bogotá;30;1;1;1
21/07/2023;Bogotá;23;1;1;1
28/10/2022;Bogotá;10;1;1;1
01/03/2020;Bogotá;29;2;1;2
09/02/2020;Bogotá;26;2;1;2
08/02/2022;Bogotá;11;1;1;1
14/10/2020;Bogotá;27;2;1;2
22/10/2021;Bogotá;37;2;1;2
30/10/2019;Bogotá;22;2;1;2
02/02/2023;Bogotá;41;1;1;1
13/12/2022;Bogotá;9;1;1;1
19/07/2023;Bogotá;10;1;1;1
02/11/2021;Bogotá;31;2;1;2
18/11/2019;Bogotá;9;2;1;2
01/12/2020;Bogotá;41;1;1;1
04/03/2021;Bogotá;2;2;1;2
22/01/2024;Bogotá;43;1;1;1
18/11/2019;Bogotá;26;2;1;2
22/11/2022;Bogotá;12;1;1;1
28/09/2021;Bogotá;34;2;1;2
20/10/2020;Bogotá;7;1;1;1
28/11/2022;Bogotá;26;1;1;1
18/01/2022;Bogotá;26;2;1;2
08/08/2022;Bogotá;23;2;1;2
30/12/2019;Bogotá;30;2;1;2
23/05/2022;Bogotá;39;1;1;1
09/10/2023;Bogotá;45;1;1;1
06/09/2022;Bogotá;21;2;1;2
25/02/2021;Bogotá;34;2;1;2
15/12/2021;Bogotá;29;2;1;2
03/02/2020;Bogotá;29;2;1;2
25/08/2022;Bogotá;3;1;1;1
04/12/2020;Bogotá;29;2;1;2
17/10/2019;Bogotá;34;2;1;2
05/07/2023;Bogotá;9;1;1;1
18/10/2022;Bogotá;29;1;1;1
13/12/2023;Bogotá;35;1;1;1
30/12/2019;Bogotá;40;2;1;2
24/06/2021;Bogotá;20;2;1;2
27/07/2021;Bogotá;23;2;1;2
30/12/2019;Bogotá;28;2;1;2
27/12/2019;Bogotá;20;2;1;2
08/06/2022;Bogotá;9;2;1;2
28/01/2021;Bogotá;33;2;1;2
30/10/2020;Bogotá;29;2;1;2
16/06/2021;Bogotá;34;2;1;2
13/10/2020;Bogotá;19;1;1;1
18/11/2019;Bogotá;20;2;1;2
27/04/2023;Bogotá;13;1;1;1
01/02/2020;Bogotá;31;2;1;2
09/06/2021;Bogotá;7;1;1;1
